dataset,metric,n,mean,sd,median,q1,q3,min,max,ci95_low,ci95_high
GT,Porosity,216,0.26610470977094436,0.01836713217190633,0.26464730501174927,0.25492042303085327,0.2777511924505234,0.2050548791885376,0.3262239694595337,0.26362564860394705,0.26854715808812113
GT,SpecificSurfaceArea,216,0.06348770072131797,0.0026069037981577645,0.06328378990292549,0.06177990045398474,0.06503579579293728,0.05732615664601326,0.07221627235412598,0.06314143136066074,0.06384041480487213
GT,EulerDensity,216,-6.249105488812482e-06,3.3731997922043364e-06,-6.377696990966797e-06,-8.404254913330078e-06,-3.814697265625e-06,-1.4901161193847656e-05,2.1457672119140625e-06,-6.69863075017929e-06,-5.797103599265769e-06
Gen,Porosity,100,0.2677667206525803,0.01699289246628886,0.26714757084846497,0.258565753698349,0.2753860354423523,0.2140827178955078,0.3207162022590637,0.26450234207510953,0.27111299958825114
Gen,SpecificSurfaceArea,100,0.06520814143121242,0.00156726319939861,0.06512537598609924,0.06428550183773041,0.06620641425251961,0.06016908213496208,0.06887037307024002,0.06489373017195611,0.06551038007810712
Gen,EulerDensity,100,-6.469488143920899e-06,1.1610872053195079e-06,-6.496906280517578e-06,-7.212162017822266e-06,-5.781650543212891e-06,-9.5367431640625e-06,-3.814697265625e-06,-6.687641143798828e-06,-6.24297559261322e-06
