Group,Sample,S2_mismatch_NRMSE_percent
GT_leave_one_out_baseline,sample_z0_y128_x384.npy,5.76773089148259
GT_leave_one_out_baseline,sample_z0_y128_x512.npy,5.438304286958435
GT_leave_one_out_baseline,sample_z0_y128_x640.npy,2.2002986235806286
GT_leave_one_out_baseline,sample_z0_y256_x0.npy,4.292379293363142
GT_leave_one_out_baseline,sample_z0_y256_x128.npy,34.97542114891437
GT_leave_one_out_baseline,sample_z0_y256_x256.npy,16.238179326719766
GT_leave_one_out_baseline,sample_z0_y256_x384.npy,3.450654094687426
GT_leave_one_out_baseline,sample_z0_y256_x512.npy,3.6877600284899525
GT_leave_one_out_baseline,sample_z0_y256_x640.npy,4.873366757450399
GT_leave_one_out_baseline,sample_z0_y384_x0.npy,8.709520977998626
GT_leave_one_out_baseline,sample_z0_y384_x128.npy,11.802534654628245
GT_leave_one_out_baseline,sample_z0_y384_x256.npy,4.535014150947876
GT_leave_one_out_baseline,sample_z0_y384_x384.npy,8.580334111617805
GT_leave_one_out_baseline,sample_z0_y384_x512.npy,10.576411848933432
GT_leave_one_out_baseline,sample_z0_y384_x640.npy,4.493983664084277
GT_leave_one_out_baseline,sample_z0_y512_x0.npy,17.019723259951363
GT_leave_one_out_baseline,sample_z0_y512_x128.npy,33.78905690495569
GT_leave_one_out_baseline,sample_z0_y512_x256.npy,11.575241832659096
GT_leave_one_out_baseline,sample_z0_y512_x384.npy,8.250141216294805
GT_leave_one_out_baseline,sample_z0_y512_x512.npy,7.400646125232475
GT_leave_one_out_baseline,sample_z0_y512_x640.npy,7.9923388419712875
GT_leave_one_out_baseline,sample_z0_y640_x0.npy,10.512261728288612
GT_leave_one_out_baseline,sample_z0_y640_x128.npy,18.34589933348056
GT_leave_one_out_baseline,sample_z0_y640_x256.npy,4.539250595214246
GT_leave_one_out_baseline,sample_z0_y640_x384.npy,2.5557884073789614
GT_leave_one_out_baseline,sample_z0_y640_x512.npy,5.017804842413319
GT_leave_one_out_baseline,sample_z0_y640_x640.npy,8.585115289616274
GT_leave_one_out_baseline,sample_z128_y0_x0.npy,4.926148868082603
GT_leave_one_out_baseline,sample_z128_y0_x128.npy,7.119777154657318
GT_leave_one_out_baseline,sample_z128_y0_x256.npy,1.7950625372964963
GT_leave_one_out_baseline,sample_z128_y0_x384.npy,22.367313072335165
GT_leave_one_out_baseline,sample_z128_y0_x512.npy,40.95276011521985
GT_leave_one_out_baseline,sample_z128_y0_x640.npy,23.54146728232699
GT_leave_one_out_baseline,sample_z128_y128_x0.npy,7.6986134742674475
GT_leave_one_out_baseline,sample_z128_y128_x128.npy,7.83217616139452
GT_leave_one_out_baseline,sample_z128_y128_x256.npy,4.292538256351948
GT_leave_one_out_baseline,sample_z128_y128_x384.npy,1.244142009670922
GT_leave_one_out_baseline,sample_z128_y128_x512.npy,24.570402319165417
GT_leave_one_out_baseline,sample_z128_y128_x640.npy,5.587680203069218
GT_leave_one_out_baseline,sample_z128_y256_x0.npy,1.0140424497898677
GT_leave_one_out_baseline,sample_z128_y256_x128.npy,19.028813524844573
GT_leave_one_out_baseline,sample_z128_y256_x256.npy,4.608077271847169
GT_leave_one_out_baseline,sample_z128_y256_x384.npy,12.331489459302627
GT_leave_one_out_baseline,sample_z128_y256_x512.npy,5.768495759439532
GT_leave_one_out_baseline,sample_z128_y256_x640.npy,6.827731716777907
GT_leave_one_out_baseline,sample_z128_y384_x0.npy,18.842118540689995
GT_leave_one_out_baseline,sample_z128_y384_x128.npy,14.551780419826724
GT_leave_one_out_baseline,sample_z128_y384_x256.npy,14.671655151169672
GT_leave_one_out_baseline,sample_z128_y384_x384.npy,4.804644384062681
GT_leave_one_out_baseline,sample_z128_y384_x512.npy,0.7132168468378747
GT_leave_one_out_baseline,sample_z128_y384_x640.npy,1.7735629066819243
GT_leave_one_out_baseline,sample_z128_y512_x0.npy,16.812591124415132
GT_leave_one_out_baseline,sample_z128_y512_x128.npy,31.421580835295394
GT_leave_one_out_baseline,sample_z128_y512_x256.npy,9.931688653271639
GT_leave_one_out_baseline,sample_z128_y512_x384.npy,13.55958547433119
GT_leave_one_out_baseline,sample_z128_y512_x512.npy,2.755569178550439
GT_leave_one_out_baseline,sample_z128_y512_x640.npy,5.211563965370412
GT_leave_one_out_baseline,sample_z128_y640_x0.npy,7.805100081349494
GT_leave_one_out_baseline,sample_z128_y640_x128.npy,15.322172098331649
GT_leave_one_out_baseline,sample_z128_y640_x256.npy,7.0984158269626505
GT_leave_one_out_baseline,sample_z128_y640_x384.npy,16.685873417137614
GT_leave_one_out_baseline,sample_z128_y640_x512.npy,4.4864165668930065
GT_leave_one_out_baseline,sample_z128_y640_x640.npy,10.365379848223402
GT_leave_one_out_baseline,sample_z256_y0_x0.npy,11.405071761291996
GT_leave_one_out_baseline,sample_z256_y0_x128.npy,1.8943263431557313
GT_leave_one_out_baseline,sample_z256_y0_x256.npy,5.288411682039975
GT_leave_one_out_baseline,sample_z256_y0_x384.npy,22.326548763585645
GT_leave_one_out_baseline,sample_z256_y0_x512.npy,13.724996878761667
GT_leave_one_out_baseline,sample_z256_y0_x640.npy,7.016322712175673
GT_leave_one_out_baseline,sample_z256_y128_x0.npy,4.57344871861673
GT_leave_one_out_baseline,sample_z256_y128_x128.npy,6.0356537567794275
GT_leave_one_out_baseline,sample_z256_y128_x256.npy,2.433534032865216
GT_leave_one_out_baseline,sample_z256_y128_x384.npy,4.308036384452729
GT_leave_one_out_baseline,sample_z256_y128_x512.npy,15.594443097018077
GT_leave_one_out_baseline,sample_z256_y128_x640.npy,5.931292245724515
GT_leave_one_out_baseline,sample_z256_y256_x0.npy,5.938754094001665
