dataset,metric,n,mean,sd,median,q1,q3,min,max,ci95_low,ci95_high
GT,Porosity,216,0.7336498863167233,0.018371280863924828,0.7351187467575073,0.7220323532819748,0.7448442131280899,0.6735288500785828,0.7947206497192383,0.7312094492078931,0.7361303143686166
GT,SpecificSurfaceArea,216,0.07482214565216391,0.002561257742611073,0.07474184781312943,0.07310872711241245,0.07659994810819626,0.06856480985879898,0.08249114453792572,0.07448268844573587,0.07516421659901325
GT,EulerDensity,216,7.721560972708243e-06,5.26522181648597e-06,6.854534149169922e-06,3.904104232788086e-06,1.1399388313293457e-05,-3.933906555175781e-06,2.288818359375e-05,7.0344518732141566e-06,8.443729193122298e-06
Gen,Porosity,100,0.2677667206525803,0.01699289246628886,0.26714757084846497,0.258565753698349,0.2753860354423523,0.2140827178955078,0.3207162022590637,0.26450234207510953,0.27111299958825114
Gen,SpecificSurfaceArea,100,0.06520814143121242,0.00156726319939861,0.06512537598609924,0.06428550183773041,0.06620641425251961,0.06016908213496208,0.06887037307024002,0.06489373017195611,0.06551038007810712
Gen,EulerDensity,100,-6.469488143920899e-06,1.1610872053195079e-06,-6.496906280517578e-06,-7.212162017822266e-06,-5.781650543212891e-06,-9.5367431640625e-06,-3.814697265625e-06,-6.687641143798828e-06,-6.24297559261322e-06
